name,Genus,oral jaw 1,pharyngealjaw
Acanthicus_hystrix,Acanthicus,Typical,Bladed
Ancistrus_brevipinnis,Ancistrus,Typical,Bladed
Ancistrus_ranunulus,Ancistrus,Typical,Bladed
Aphanotorulus_emarginatus,Aphanotorulus,Typical,Bladed
Baryancistrus_chrysolomus,Baryancistrus,Typical,Bladed
Baryancistrus_demantoides,Baryancistrus,Typical,Bladed
Chaetostoma_dermorhynchus,Chaetostoma,Typical,Bladed
Cordylancistrus_setosus,Cordylancistrus,Typical,Bladed
Crossoloricaria_variegata,Crossoloricaria,reduced,Labroid-like
Cteniloricaria_platystoma,Cteniloricaria,Typical,Bladed
Dekeyseria_scaphirhyncha,Dekeyseria,Typical,Bladed
Farlowella_acus,Farlowella,Typical,Bladed
Harttia_loricariformis,Harttia,Typical,Bladed
Hemiancistrus_medians,Hemiancistrus,Typical,Bladed
Hemiodontichthys_acipenserinus,Hemiodontichthys,reduced,Elongated
Hisonotus_notatus,Hisonotus,Typical,Bladed
Hypancistrus_debilittera,Hypancistrus,elongate and long at toothcup,Bladed
Hypancistrus_inspector,Hypancistrus,Typical,Bladed
Hypancistrus_vandragti,Hypancistrus,elongate and long at toothcup,Bladed
Hypoptopoma_psilogaster,Hypoptopoma,Typical,Bladed
Hypostomus_cochliodon,Hypostomus,Typical,Bladed
Hypostomus_commersoni,Hypostomus,Typical,Bladed
Hypostomus_laplatae,Hypostomus,Typical,Bladed
Hypostomus_plecostomus,Hypostomus,Typical,Bladed
Hypostomus_regani,Hypostomus,Typical,Bladed
Hypostomus_watwata,Hypostomus,Typical,Bladed
Isorineloricaria_spinosissima,Isorineloricaria,Typical,Bladed
Lamontichthys_filamentosus,Lamontichthys,Typical,Bladed
Lasiancistrus_mayoloi,Lasiancistrus,Typical,Bladed
Leporacanthicus_heterodon,Leporacanthicus,elongate and long at toothcup,Comb-shaped
Limatulichthys_griesus,Limatulichthys,reduced,Elongated
Lithogenes_villosus,Lithogenes,elongate and long at toothcup,Bladed
Lithoxus_lithoides,Lithoxus,elongate and long at toothcup,Bladed
Loricaria_cataphracta,Loricaria,reduced,Labroid-like
Loricariichthys_maculatus,Loricariichthys,Typical,Elongated
Neoplecostomus_granosus,Neoplecostomus,Typical,Elongated
Niobichthys_ferrarisi,Niobichthys,Typical,Bladed
Otocinclus_vittatus,Otocinclus,Typical,Bladed
Otothyris_sp.,Otothyris,Typical,Bladed
Oxyropsis_carniata,Oxyropsis,Typical,Bladed
Panaqolus_maccus,Panaqolus,Typical,Bladed
Panaque_armbrusteri,Panaque,Typical,Bladed
Parancistrus_aurantiacus,Parancistrus,Typical,Bladed
Pareiorhaphis_cameroni,Pareiorhaphis,Typical,Carp-like
Parotocinclus_jumbo,Parotocinclus,Typical,Bladed
Peckoltia_braueri,Peckoltia,Typical,Bladed
Peckoltia_sabaji,Peckoltia,Typical,Bladed
Planiloricaria_cryptodon,Planiloricaria,reduced,Labroid-like
Pseudacanthicus_pirarara,Pseudacanthicus,Typical,Bladed
Pseudancistrus_barbatus,Pseudancistrus,Typical,Bladed
Pseudohemiodon_apithanos,Pseudohemiodon,reduced,Labroid-like
Pseudoloricaria_laeviuscula,Pseudoloricaria,reduced,Elongated
Pseudorinelepis_genibarbis,Pseudorinelepis,Typical,Bladed
Pterygoplichthys_gibbiceps,Pterygoplichthys,Typical,Bladed
Rhinelepis_strigosa,Rhinelepis,Typical,Bladed
Rhinotocinclus_eppleyi,Rhinotocinclus,Typical,Bladed
Rineloricaria_lanceolata,Rineloricaria,reduced,Labroid-like
Scobiancistrus_auratus,Scobiancistrus,elongate and long at toothcup,Bladed
Spatuloricaria_evansii,Spatuloricaria,elongate and long at toothcup,Elongated
Spectracanthicus_murinus,Spectracanthicus,elongate and long at toothcup,Bladed
Spectracanthicus_zuanoni,Spectracanthicus,Typical,Bladed
Sturisoma_robustum,Sturisoma,Typical,Bladed
Sturisomatichthys_tamanae,Sturisomatichthys,Typical,Bladed
