name,Genus,Niche,Location,SL,Subfamily
Acanthicus_hystrix,Acanthicus,Unknown,Surface,255,Hypostominae
Ancistrus_brevipinnis,Ancistrus,Algivore,Surface,76.78,Hypostominae
Ancistrus_ranunulus,Ancistrus,Algivore,Surface,111.4,Hypostominae
Aphanotorulus_emarginatus,Aphanotorulus,Detritivore,Surface,135,Hypostominae
Astroblepus_mindoensis,Astroblepus,Carnivore,Surface,147,Astroblepidae
Baryancistrus_chrysolomus,Baryancistrus,Algivore,Surface,85,Hypostominae
Baryancistrus_demantoides,Baryancistrus,Algivore,Surface,81,Hypostominae
Chaetostoma_dermorhynchus,Chaetostoma,Algivore,Surface,73.98,Hypostominae
Cordylancistrus_setosus,Cordylancistrus,Unknown,Surface,96.33,Hypostominae
Crossoloricaria_variegata,Crossoloricaria,Unknown,Substrate,240,Loricariinae
Cteniloricaria_platystoma,Cteniloricaria,Unknown,Surface,74.04,Loricariinae
Dekeyseria_scaphirhyncha,Dekeyseria,Algivore,Surface,67.91,Hypostominae
Farlowella_acus,Farlowella,Algivore,Surface,108.67,Loricariinae
Harttia_loricariformis,Harttia,Carnivore,Surface,91,Loricariinae
Hemiancistrus_medians,Hemiancistrus,Unknown,Surface,76,Hypostominae
Hemiodontichthys_acipenserinus,Hemiodontichthys,Unknown,Substrate,81,Loricariinae
Hisonotus_notatus,Hisonotus,Algivore,Surface,39,Hypoptopominae
Hypancistrus_debilittera,Hypancistrus,Algivore,Surface,30,Hypostominae
Hypancistrus_inspector,Hypancistrus,Detritivore,Surface,71,Hypostominae
Hypancistrus_vandragti,Hypancistrus,Unknown,Surface,38.6,Hypostominae
Hypoptopoma_psilogaster,Hypoptopoma,Algivore,Surface,45.7,Hypoptopominae
Hypostomus_cochliodon,Hypostomus,Pseudoxylovore,Surface,88.91,Hypostominae
Hypostomus_commersoni,Hypostomus,Algivore,Surface,173,Hypostominae
Hypostomus_laplatae,Hypostomus,Detritivore,Surface,350,Hypostominae
Hypostomus_plecostomus,Hypostomus,Detritivore,Surface,89.1,Hypostominae
Hypostomus_regani,Hypostomus,Detritivore,Surface,193,Hypostominae
Hypostomus_watwata,Hypostomus,Detritivore,Surface,150.4,Hypostominae
Isorineloricaria_spinosissima,Isorineloricaria,Unknown,Surface,220.5,Hypostominae
Lamontichthys_filamentosus,Lamontichthys,Algivore,Surface,195,Loricariinae
Lasiancistrus_mayoloi,Lasiancistrus,Algivore,Surface,129,Hypostominae
Leporacanthicus_heterodon,Leporacanthicus,Carnivore,Surface,85,Hypostominae
Limatulichthys_griesus,Limatulichthys,Carnivore,Substrate,117,Loricariinae
Lithogenes_villosus,Lithogenes,Unknown,Substrate,33,Lithogeninae
Lithoxus_lithoides,Lithoxus,Omnivore,Surface,43,Hypostominae
Loricaria_cataphracta,Loricaria,Durophage,Substrate,141,Loricariinae
Loricariichthys_maculatus,Loricariichthys,Durophage,Substrate,21.3,Loricariinae
Neoplecostomus_granosus,Neoplecostomus,Omnivore,Surface,49,Hypoptopominae
Niobichthys_ferrarisi,Niobichthys,Unknown,Surface,40,Hypoptopominae
Otocinclus_vittatus,Otocinclus,Detritivore,Surface,25.23,Hypoptopominae
Otothyris_sp.,Otothyris,Unknown,Surface,23.62,Hypoptopominae
Oxyropsis_carniata,Oxyropsis,Unknown,Surface,43.5,Hypoptopominae
Panaqolus_maccus,Panaqolus,Pseudoxylovore,Surface,45,Hypostominae
Panaque_armbrusteri,Panaque,Pseudoxylovore,Surface,155,Hypostominae
Parancistrus_aurantiacus,Parancistrus,Algivore,Surface,88.62,Hypostominae
Pareiorhaphis_cameroni,Pareiorhaphis,Omnivore,Surface,131,Hypoptopominae
Parotocinclus_jumbo,Parotocinclus,Unknown,Surface,2.35,Hypoptopominae
Peckoltia_braueri,Peckoltia,Detritivore,Surface,87,Hypostominae
Peckoltia_sabaji,Peckoltia,Unknown,Surface,157,Hypostominae
Planiloricaria_cryptodon,Planiloricaria,Durophage,Substrate,172,Loricariinae
Pseudacanthicus_pirarara,Pseudacanthicus,Carnivore,Surface,160,Hypostominae
Pseudancistrus_barbatus,Pseudancistrus,Unknown,Surface,104,Hypostominae
Pseudohemiodon_apithanos,Pseudohemiodon,Durophage,Substrate,166,Loricariinae
Pseudoloricaria_laeviuscula,Pseudoloricaria,Algivore,Substrate,216,Loricariinae
Pseudorinelepis_genibarbis,Pseudorinelepis,Unknown,Surface,107,Rinelepinae
Pterygoplichthys_gibbiceps,Pterygoplichthys,Detritivore,Surface,225,Hypostominae
Rhinelepis_strigosa,Rhinelepis,Detritivore,Surface,150,Rinelepinae
Rhinotocinclus_eppleyi,Rhinotocinclus,Detritivore,Surface,27,Hypoptopominae
Rineloricaria_lanceolata,Rineloricaria,Algivore,Substrate,94.5,Loricariinae
Scobiancistrus_auratus,Scobiancistrus,Carnivore,Surface,210,Hypostominae
Spatuloricaria_evansii,Spatuloricaria,Carnivore,Substrate,128,Loricariinae
Spectracanthicus_murinus,Spectracanthicus,Unknown,Surface,59,Hypostominae
Spectracanthicus_zuanoni,Spectracanthicus,Algivore,Surface,88,Hypostominae
Sturisoma_robustum,Sturisoma,Detritivore,Surface,237,Loricariinae
Sturisomatichthys_tamanae,Sturisomatichthys,Unknown,Surface,190,Loricariinae
